context_id,context_index,preference_name,preference_index,w_motion,w_stability,w_energy,selected_beta_name,selected_beta_motion,selected_beta_stability,selected_beta_energy,selected_lambda_motion,selected_lambda_stability,selected_lambda_energy,selected_J_motion_s_per_m,selected_J_stability,selected_J_energy_j_per_m,selected_regret_motion,selected_regret_stability,selected_regret_energy,scalarization_score,pareto_count,pareto_ideal_motion,pareto_ideal_stability,pareto_ideal_energy,pareto_nadir_motion,pareto_nadir_stability,pareto_nadir_energy,pareto_span_motion,pareto_span_stability,pareto_span_energy,source_stage
flat,0,wm100_ws000_we000,0,1.0,0.0,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm080_ws020_we000,1,0.8,0.2,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm080_ws000_we020,2,0.8,0.0,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm060_ws040_we000,3,0.6,0.4,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm060_ws020_we020,4,0.6,0.2,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm060_ws000_we040,5,0.6,0.0,0.4,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm040_ws060_we000,6,0.4,0.6,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm040_ws040_we020,7,0.4,0.4,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm040_ws020_we040,8,0.4,0.2,0.4,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm040_ws000_we060,9,0.4,0.0,0.6,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
