context_id,context_index,source_stage,beta_points,pareto_count,pareto_span_motion,pareto_span_stability,pareto_span_energy,distinct_selected_betas,selected_beta_histogram
rough_seed_30,20,T5.5f3_extension,21,6,0.05418933838039841,0.0022540119031014827,1.7253688576803654,5,"{""lm100_ls000_le000"": 1, ""lm080_ls020_le000"": 1, ""lm060_ls040_le000"": 15, ""lm040_ls020_le040"": 6, ""lm020_ls060_le020"": 2}"
rough_seed_31,21,T5.5f3_extension,21,6,0.0350339823841912,0.002881678105556229,1.2667809268529027,6,"{""lm100_ls000_le000"": 1, ""lm080_ls020_le000"": 6, ""lm060_ls000_le040"": 3, ""lm040_ls020_le040"": 1, ""lm020_ls040_le040"": 1, ""lm000_ls060_le040"": 13}"
rough_seed_32,22,T5.5f3_extension,21,10,0.1443700879295422,0.016493079063247013,3.1742796177311305,6,"{""lm100_ls000_le000"": 6, ""lm040_ls060_le000"": 6, ""lm040_ls040_le020"": 4, ""lm040_ls000_le060"": 6, ""lm020_ls000_le080"": 1, ""lm000_ls100_le000"": 2}"
rough_seed_33,23,T5.5f3_extension,21,11,0.09322530630450565,0.009389999066640453,2.0408180475627518,8,"{""lm100_ls000_le000"": 1, ""lm060_ls020_le020"": 1, ""lm060_ls000_le040"": 1, ""lm040_ls060_le000"": 4, ""lm040_ls040_le020"": 6, ""lm000_ls100_le000"": 2, ""lm000_ls080_le020"": 4, ""lm000_ls040_le060"": 6}"
rough_seed_35,24,T5.5f3_extension,21,3,0.004692537195325919,0.0007180843290855998,0.3444135870915659,3,"{""lm100_ls000_le000"": 9, ""lm080_ls020_le000"": 11, ""lm060_ls040_le000"": 5}"
rough_seed_36,25,T5.5f3_extension,21,6,0.10879977098497662,0.003429041337478067,0.2970229980013528,5,"{""lm100_ls000_le000"": 13, ""lm060_ls040_le000"": 6, ""lm040_ls060_le000"": 2, ""lm000_ls080_le020"": 3, ""lm000_ls000_le100"": 1}"
rough_seed_37,26,T5.5f3_extension,21,6,0.041543658147439544,0.005760413675356457,4.225135931711293,6,"{""lm100_ls000_le000"": 1, ""lm080_ls000_le020"": 4, ""lm040_ls060_le000"": 17, ""lm020_ls040_le040"": 1, ""lm000_ls080_le020"": 1, ""lm000_ls060_le040"": 1}"
rough_seed_38,27,T5.5f3_extension,21,11,0.07550097601707773,0.013372697812050804,2.8317631986001572,7,"{""lm080_ls000_le020"": 4, ""lm060_ls040_le000"": 1, ""lm060_ls020_le020"": 8, ""lm060_ls000_le040"": 2, ""lm020_ls060_le020"": 7, ""lm020_ls040_le040"": 2, ""lm000_ls100_le000"": 1}"
rough_seed_39,28,T5.5f3_extension,21,11,0.06766778065505274,0.028740782330183345,8.298961590232935,6,"{""lm080_ls000_le020"": 1, ""lm060_ls040_le000"": 8, ""lm040_ls060_le000"": 3, ""lm040_ls020_le040"": 5, ""lm020_ls040_le040"": 1, ""lm000_ls100_le000"": 7}"
rough_seed_40,29,T5.5f3_extension,21,9,0.05973875068577161,0.0050751007106806245,0.6046290870422126,7,"{""lm060_ls040_le000"": 1, ""lm020_ls080_le000"": 2, ""lm020_ls060_le020"": 8, ""lm000_ls100_le000"": 7, ""lm000_ls080_le020"": 1, ""lm000_ls060_le040"": 3, ""lm000_ls040_le060"": 3}"
rough_seed_41,30,T5.5f3_extension,21,9,0.09133556397026332,0.003939672399699945,0.7403286297773093,7,"{""lm080_ls020_le000"": 1, ""lm060_ls020_le020"": 3, ""lm040_ls040_le020"": 3, ""lm020_ls080_le000"": 8, ""lm000_ls100_le000"": 4, ""lm000_ls080_le020"": 4, ""lm000_ls040_le060"": 2}"
rough_seed_42,31,T5.5f3_extension,21,9,0.023624746318243517,0.0018778968237864735,1.974650756329524,7,"{""lm100_ls000_le000"": 5, ""lm060_ls000_le040"": 2, ""lm040_ls000_le060"": 4, ""lm020_ls040_le040"": 9, ""lm020_ls020_le060"": 3, ""lm020_ls000_le080"": 1, ""lm000_ls020_le080"": 1}"
rough_seed_44,32,T5.5f3_extension,21,14,0.050982993177346,0.009617845638106304,1.3743135833550753,8,"{""lm100_ls000_le000"": 6, ""lm080_ls020_le000"": 5, ""lm060_ls000_le040"": 1, ""lm020_ls080_le000"": 4, ""lm020_ls020_le060"": 1, ""lm020_ls000_le080"": 6, ""lm000_ls100_le000"": 1, ""lm000_ls000_le100"": 1}"
rough_seed_45,33,T5.5f3_extension,21,14,0.07658634100851724,0.010208051221227726,0.9452361646149825,12,"{""lm060_ls040_le000"": 1, ""lm060_ls020_le020"": 4, ""lm060_ls000_le040"": 1, ""lm040_ls060_le000"": 2, ""lm040_ls020_le040"": 1, ""lm040_ls000_le060"": 1, ""lm020_ls040_le040"": 2, ""lm020_ls020_le060"": 1, ""lm000_ls100_le000"": 2, ""lm000_ls080_le020"": 5, ""lm000_ls060_le040"": 2, ""lm000_ls040_le060"": 3}"
rough_seed_47,34,T5.5f3_extension,21,8,0.05590251179890071,0.0042911739855204245,1.3347035358014239,7,"{""lm100_ls000_le000"": 4, ""lm080_ls000_le020"": 6, ""lm060_ls020_le020"": 2, ""lm060_ls000_le040"": 4, ""lm040_ls040_le020"": 7, ""lm040_ls020_le040"": 1, ""lm000_ls080_le020"": 1}"
