context_id,context_index,beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,J_motion_s_per_m,J_stability,J_energy_j_per_m,regret_motion,regret_stability,regret_energy
flat,0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0
low_friction,1,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.539224297512309,0.25137314479378425,110.58335893441934,0.0,1.0,0.5941920981184179
low_friction,1,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.542541160232466,0.2509052680762073,110.51206006721317,0.12004539642447351,0.7237294812464607,0.22756768461331556
low_friction,1,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,4.544679391626769,0.2505255781359973,110.59918496615518,0.19743323458139905,0.49953124096951407,0.6755708048303816
low_friction,1,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.547219700831385,0.25017519271203076,110.62720484327328,0.289373254786527,0.2926366484276484,0.8196512287900357
low_friction,1,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,4.550188003922176,0.24997079780404255,110.6622779661086,0.39680342338423646,0.17194612218620497,1.0
low_friction,1,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,4.566854367627028,0.2496795992077843,110.4678040997217,1.0,0.0,0.0
rough_seed_13,2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.425768838781536,0.48859726757708033,148.2619747782019,0.0,0.8099072147082177,1.0
rough_seed_13,2,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.433116592732395,0.4857931035504681,147.4083075334975,0.07933641749090085,0.527836600435501,0.7091206495906697
rough_seed_13,2,lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,4.476859539407105,0.48836031307554406,146.28683867532902,0.5516451941425174,0.7860719821152907,0.32699033477310696
rough_seed_13,2,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.445525657692599,0.480545692682495,147.58274612036152,0.21332168223148967,0.0,0.7685590117254372
rough_seed_13,2,lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,4.47408814587878,0.48926011833435273,146.88120631560952,0.5217214330224189,0.8765833144301184,0.5295157030376247
rough_seed_13,2,lm040_ls000_le060,0.37,0.15,0.48,0.4,0.0,0.6,4.487812692895135,0.48775200494741067,145.32719359313973,0.6699104441468061,0.7248823206898959,0.0
rough_seed_13,2,lm020_ls060_le020,0.26,0.48,0.26,0.2,0.6,0.2,4.46049675924879,0.4904870473813614,147.21290249585252,0.37497020384834256,1.0,0.642538160020554
rough_seed_13,2,lm020_ls000_le080,0.26,0.15,0.59,0.2,0.0,0.8,4.518383985560771,0.48209695526695223,145.33615197172438,1.0,0.15604136774580057,0.0030524860355003367
rough_seed_13,2,lm000_ls040_le060,0.15,0.37,0.48,0.0,0.4,0.6,4.490989649901353,0.4875266928846112,146.97172229796544,0.7042132241638912,0.7022181999916215,0.5603582008758432
rough_seed_7,3,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.457193450320372,0.32365316164450253,132.73219619100732,0.0,0.5636546569277822,0.7717556440993897
rough_seed_7,3,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.461845908155069,0.32253662939587835,133.44172120843342,0.04303433854531195,0.39435901174609406,1.0
rough_seed_7,3,lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,4.497729637438085,0.3265309299802105,131.49954496073363,0.3749519204129598,1.0,0.37522884209241836
rough_seed_7,3,lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,4.4872138570754805,0.32490183075615703,131.7939011223825,0.27768297821694904,0.7529857247374933,0.4699191361212941
rough_seed_7,3,lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,4.505544911216852,0.3254205127257129,131.11115297046106,0.44724169703630584,0.8316315487056483,0.2502885264171492
rough_seed_7,3,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,4.46590350015606,0.32274524555955125,133.13471698179052,0.0805662827463243,0.4259907071743742,0.901240998910694
rough_seed_7,3,lm020_ls060_le020,0.26,0.48,0.26,0.2,0.6,0.2,4.489898789157855,0.324841505838522,132.17513111139635,0.302518082651937,0.7438388811383603,0.5925555353396316
rough_seed_7,3,lm020_ls040_le040,0.26,0.36999999999999994,0.37,0.2,0.4,0.4,4.5027371195433625,0.3259168951780278,131.35874732814656,0.4212701650558283,0.9068961795526966,0.32993619676929165
rough_seed_7,3,lm020_ls020_le060,0.26,0.26,0.48,0.2,0.2,0.6,4.565303810371516,0.3199357677276557,130.33310099906856,1.0,0.0,0.0
rough_seed_7,3,lm000_ls100_le000,0.15,0.7,0.15,0.0,1.0,0.0,4.4738512219075055,0.32303973485454657,132.4366902164479,0.1540811775971606,0.47064302712014006,0.6766954712068608
rough_seed_7,3,lm000_ls060_le040,0.15,0.48,0.37,0.0,0.6,0.4,4.528300418459131,0.3215065063942171,131.85710764790647,0.6577257545448969,0.2381652803087465,0.4902517986104487
rough_seed_7,3,lm000_ls040_le060,0.15,0.37,0.48,0.0,0.4,0.6,4.555083872443663,0.32303756089221736,131.37406904897676,0.9054675433231543,0.4703133972723879,0.3348649818244887
rough_seed_15,4,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.459408350130682,0.44095763826169493,152.45271382321184,0.1182042353455897,0.3903664304130613,0.50252967373731
rough_seed_15,4,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,4.458695370497478,0.4437716899821233,152.1452722039196,0.10399936977960171,0.9599121287284395,0.3876668825358836
rough_seed_15,4,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,4.4607908189180385,0.4406518202105258,152.39907229543368,0.14574749515138913,0.3284708532116371,0.48248874492912863
rough_seed_15,4,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.453475368085315,0.44164200180248164,152.39428454563986,0.0,0.5288771435991076,0.4807000010818959
rough_seed_15,4,lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,4.457888800593791,0.4438316309910415,151.8184833799612,0.08792988263316408,0.972043797643484,0.2655758119134196
