context_id,group,terrain,seed,beta_name,pareto_nondominated,support_class,max_margin,beta_hat_motion,beta_hat_stability,beta_hat_energy,beta_gen_motion,beta_gen_stability,beta_gen_energy,original_beta_selected_cost,original_beta_best_cost,original_beta_regret,original_beta_consistent
flat_train:flat:27100,flat_train,flat,27100,balanced,True,unsupported,-7.190541602776262e-05,0.0,0.9824414480515397,0.01755855194846044,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2510304132529025,0.24957912207788724,0.0014512911750152457,False
flat_train:flat:27100,flat_train,flat,27100,motion,True,strict,0.004676271638302865,1.0,-0.0,0.0,0.7,0.15,0.15,0.22204576095207879,0.22204576095207879,0.0,True
flat_train:flat:27100,flat_train,flat,27100,stability,True,strict,0.0023035010916558907,0.0,0.0,1.0,0.15,0.7,0.15,0.11861011499542837,0.11861011499542837,0.0,True
flat_train:flat:27100,flat_train,flat,27100,energy,True,strict,0.0003006764778493364,0.5935537803390051,0.0,0.4064462196609949,0.15,0.15,0.7,0.4046128335080467,0.40331482982803124,0.0012980036800154804,False
flat_train:flat:27101,flat_train,flat,27101,balanced,True,unsupported,-0.00011070292689635349,0.0,0.9542577310206077,0.045742268979392306,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2505480985113239,0.24982864994652948,0.0007194485647944449,False
flat_train:flat:27101,flat_train,flat,27101,motion,True,strict,0.004439191128277148,1.0,-0.0,0.0,0.7,0.15,0.15,0.22183607172333802,0.22183607172333802,0.0,True
flat_train:flat:27101,flat_train,flat,27101,stability,False,unsupported,-6.918519871942709e-05,0.0,0.9542577310206077,0.045742268979392306,0.15,0.7,0.15,0.11922009008168827,0.11853406658391939,0.0006860234977688756,False
flat_train:flat:27101,flat_train,flat,27101,energy,True,strict,0.0006575921074777101,0.415696688625117,0.0,0.584303311374883,0.15,0.15,0.7,0.4055835770424028,0.4055835770424028,0.0,True
flat_train:flat:27102,flat_train,flat,27102,balanced,True,unsupported,-6.49239631387688e-05,0.0,0.983141238637216,0.01685876136278402,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25088725383832644,0.2499756932195721,0.0009115606187543313,False
flat_train:flat:27102,flat_train,flat,27102,motion,True,strict,0.004773720675136928,1.0,-0.0,0.0,0.7,0.15,0.15,0.2222146497095382,0.2222146497095382,0.0,True
flat_train:flat:27102,flat_train,flat,27102,stability,True,strict,0.003585388846721216,0.0,-0.0,1.0,0.15,0.7,0.15,0.11879205915692892,0.11879205915692892,0.0,True
flat_train:flat:27102,flat_train,flat,27102,energy,True,unsupported,-7.754744454551139e-05,0.0,0.9831412386372161,0.016858761362783966,0.15,0.15,0.7,0.4061980529183294,0.4040122623944471,0.0021857905238822917,False
flat_train:flat:27103,flat_train,flat,27103,balanced,True,unsupported,-3.526825141925526e-05,0.0,0.982004097924312,0.017995902075688113,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2514044744625501,0.24852365219034797,0.002880822272202127,False
flat_train:flat:27103,flat_train,flat,27103,motion,True,strict,0.005248853766773615,1.0,-0.0,0.0,0.7,0.15,0.15,0.22216818762841734,0.22216818762841734,0.0,True
flat_train:flat:27103,flat_train,flat,27103,stability,True,strict,0.009388423763408649,0.0,0.0,1.0,0.15,0.7,0.15,0.11816639862147503,0.11816639862147503,0.0,True
flat_train:flat:27103,flat_train,flat,27103,energy,True,unsupported,-0.00012989011584804748,0.0,0.9820040979243119,0.01799590207568811,0.15,0.15,0.7,0.4071206079083175,0.40084720652402417,0.006273401384293331,False
flat_train:flat:27104,flat_train,flat,27104,balanced,True,strict,0.0003499354215794649,0.6617213615890849,0.0,0.338278638410915,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.24967773731357185,0.24896599121692375,0.0007117460966480915,False
flat_train:flat:27104,flat_train,flat,27104,motion,True,strict,0.003934832512970388,1.0,-0.0,0.0,0.7,0.15,0.15,0.22240579119311193,0.22240579119311193,0.0,True
flat_train:flat:27104,flat_train,flat,27104,stability,False,unsupported,-0.0001537678516633832,0.0,0.9734778493372295,0.02652215066277056,0.15,0.7,0.15,0.11903184682250392,0.11829746892702492,0.0007343778954790048,False
flat_train:flat:27104,flat_train,flat,27104,energy,True,strict,0.0023140883216420383,-0.0,0.0,1.0,0.15,0.15,0.7,0.4031379036978378,0.4031379036978378,0.0,True
flat_train:flat:27105,flat_train,flat,27105,balanced,True,unsupported,-8.872463417447236e-05,0.0,0.9784466474364586,0.02155335256354139,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.24989021100070238,0.24833468683138643,0.0015555241693159527,False
flat_train:flat:27105,flat_train,flat,27105,motion,True,strict,0.004615106607244429,1.0,-0.0,0.0,0.7,0.15,0.15,0.22170510804676807,0.22170510804676807,0.0,True
